class_name,status,note,prespec_audit,n_ctrl,n_trt,pcr_ctrl,pcr_trt,baseline_OR,baseline_p,or_interaction,or_ci_wald_lo,or_ci_wald_hi,or_ci_boot_lo,or_ci_boot_hi,p_wald,p_permutation,null_median_or,min_detectable_or_80power,balance_HR_p,balance_MP_p,q_perm_bh,q_BH_perm
PARPi+platinum,VALID,,informed_by_exploratory,179.0,71.0,0.1731843575418994,0.380281690140845,2.929618768328446,0.0008012854937324,1.407989864783377,0.7183818081969813,2.7595847176424124,0.7153650069231708,3.220506401867821,0.3189601151534219,0.3176823176823177,0.995212258970786,3.237669890941621,0.356937794706297,0.3770786902366447,0.3176823176823177,0.3176823176823177
anti-Angiopoietin,VALID,,informed_by_exploratory,179.0,115.0,0.1731843575418994,0.2869565217391304,1.9213217938631,0.0293252303907579,1.4965004421270038,0.8390765387402014,2.669021799428152,0.8055211653381378,2.9674110928815285,0.1720610361345145,0.1848151848151848,0.997001890725799,2.5171634759030677,0.9085672658787614,0.8027961912903242,0.231018981018981,0.231018981018981
anti-IGF-1R,VALID,,informed_by_exploratory,179.0,105.0,0.1731843575418994,0.2285714285714285,1.4145758661887695,0.2779581951910708,2.1565345437922057,1.1653542578997274,3.990753204052068,1.3302307852071238,4.680106087284935,0.0143944339571514,0.0149850149850149,0.984653163161341,2.6276549201548316,0.748139841096872,0.3864856325865061,0.0574425574425574,0.057442557442557246
pan-HER TKI,VALID,,informed_by_exploratory,179.0,49.0,0.1731843575418994,0.3265306122448979,2.3147605083088956,0.0273186941672015,2.8960514697393624,1.2650284228580044,6.629980768677915,1.279050050919788,7.918122863736795,0.0118598416925777,0.0229770229770229,0.9760840216914456,4.113250378782926,0.0403630617795012,0.0358591327628966,0.0574425574425574,0.057442557442557246
AKT inhibitor,VALID,,informed_by_exploratory,179.0,60.0,0.1731843575418994,0.3,2.046082949308756,0.0425620106110847,2.047406669041558,1.0399945046351544,4.030669440802883,1.1501552356387197,4.82635959980297,0.0381317775315823,0.0819180819180819,0.9783051509778696,3.589522914762679,0.5254844891785666,0.1262767802290879,0.1365301365301365,0.13653013653013651
