a,b,test_statistic,p_value,-log2(p)
high,low,7.529565690347,0.006069453764318386,7.364217601289744
high,medium,3.0921529452509824,0.07867065569196395,3.6680305817700223
low,medium,0.456646494450986,0.49919542301488307,1.002323388299384
