timeline,low,tertile,medium,high
0.0,1.0,low,,
1.0,1.0,low,,
5.0,1.0,low,,
8.0,1.0,low,,
9.0,1.0,low,,
10.0,1.0,low,,
30.0,1.0,low,,
31.0,1.0,low,,
34.0,1.0,low,,
59.0,1.0,low,,
64.0,1.0,low,,
78.0,1.0,low,,
79.0,1.0,low,,
116.0,0.9972899728997294,low,,
160.0,0.9945799457994585,low,,
162.0,0.9945799457994585,low,,
170.0,0.9945799457994585,low,,
172.0,0.9945799457994585,low,,
186.0,0.9945799457994585,low,,
187.0,0.9945799457994585,low,,
196.0,0.9945799457994585,low,,
216.0,0.9945799457994585,low,,
217.0,0.9945799457994585,low,,
218.0,0.9945799457994585,low,,
224.0,0.991794007575931,low,,
227.0,0.9890080693524032,low,,
231.0,0.9890080693524032,low,,
250.0,0.9890080693524032,low,,
252.0,0.9890080693524032,low,,
258.0,0.9890080693524032,low,,
275.0,0.9890080693524032,low,,
285.0,0.9890080693524032,low,,
288.0,0.9890080693524032,low,,
293.0,0.9890080693524032,low,,
302.0,0.9890080693524032,low,,
303.0,0.9890080693524032,low,,
313.0,0.9890080693524032,low,,
322.0,0.9861077524334815,low,,
323.0,0.9861077524334815,low,,
332.0,0.9861077524334815,low,,
337.0,0.9861077524334815,low,,
343.0,0.9861077524334815,low,,
345.0,0.9861077524334815,low,,
362.0,0.9831553340130216,low,,
365.0,0.9831553340130216,low,,
366.0,0.9831553340130216,low,,
373.0,0.9831553340130216,low,,
375.0,0.9831553340130216,low,,
376.0,0.9831553340130216,low,,
380.0,0.9831553340130216,low,,
381.0,0.9831553340130216,low,,
383.0,0.9831553340130216,low,,
385.0,0.9831553340130216,low,,
392.0,0.9831553340130216,low,,
393.0,0.9831553340130216,low,,
394.0,0.9831553340130216,low,,
396.0,0.9831553340130216,low,,
403.0,0.9831553340130216,low,,
404.0,0.9831553340130216,low,,
405.0,0.9831553340130216,low,,
410.0,0.9831553340130216,low,,
412.0,0.9831553340130216,low,,
413.0,0.9831553340130216,low,,
417.0,0.9831553340130216,low,,
424.0,0.9831553340130216,low,,
426.0,0.9831553340130216,low,,
427.0,0.9831553340130216,low,,
428.0,0.9831553340130216,low,,
430.0,0.9831553340130216,low,,
431.0,0.9831553340130216,low,,
434.0,0.9831553340130216,low,,
437.0,0.9831553340130216,low,,
439.0,0.9831553340130216,low,,
440.0,0.9831553340130216,low,,
441.0,0.9831553340130216,low,,
447.0,0.9831553340130216,low,,
450.0,0.9831553340130216,low,,
454.0,0.9831553340130216,low,,
463.0,0.9831553340130216,low,,
466.0,0.9831553340130216,low,,
467.0,0.9831553340130216,low,,
472.0,0.9831553340130216,low,,
477.0,0.9831553340130216,low,,
492.0,0.9831553340130216,low,,
499.0,0.9831553340130216,low,,
518.0,0.9831553340130216,low,,
519.0,0.9831553340130216,low,,
521.0,0.9831553340130216,low,,
523.0,0.9831553340130216,low,,
525.0,0.9831553340130216,low,,
528.0,0.9831553340130216,low,,
532.0,0.9831553340130216,low,,
545.0,0.9831553340130216,low,,
548.0,0.9796314797692474,low,,
552.0,0.9796314797692474,low,,
554.0,0.9796314797692474,low,,
562.0,0.9796314797692474,low,,
563.0,0.9760561823978265,low,,
572.0,0.9760561823978265,low,,
575.0,0.9760561823978265,low,,
577.0,0.9760561823978265,low,,
584.0,0.9724411595000565,low,,
585.0,0.9724411595000565,low,,
586.0,0.9724411595000565,low,,
588.0,0.9724411595000565,low,,
590.0,0.9724411595000565,low,,
594.0,0.9724411595000565,low,,
596.0,0.9724411595000565,low,,
602.0,0.9724411595000565,low,,
606.0,0.9724411595000565,low,,
607.0,0.9724411595000565,low,,
608.0,0.9724411595000565,low,,
611.0,0.9724411595000565,low,,
612.0,0.9724411595000565,low,,
616.0,0.9685975185534159,low,,
620.0,0.9685975185534159,low,,
622.0,0.9685975185534159,low,,
626.0,0.9685975185534159,low,,
629.0,0.9685975185534159,low,,
630.0,0.9685975185534159,low,,
639.0,0.9646440592940141,low,,
640.0,0.9646440592940141,low,,
641.0,0.9646440592940141,low,,
643.0,0.9646440592940141,low,,
646.0,0.9646440592940141,low,,
648.0,0.9646440592940141,low,,
651.0,0.9646440592940141,low,,
652.0,0.9646440592940141,low,,
666.0,0.9646440592940141,low,,
694.0,0.9646440592940141,low,,
701.0,0.9646440592940141,low,,
709.0,0.9646440592940141,low,,
710.0,0.9646440592940141,low,,
714.0,0.9646440592940141,low,,
715.0,0.9646440592940141,low,,
725.0,0.9646440592940141,low,,
742.0,0.9646440592940141,low,,
747.0,0.9646440592940141,low,,
748.0,0.9646440592940141,low,,
752.0,0.9646440592940141,low,,
754.0,0.9603567523638181,low,,
755.0,0.9603567523638181,low,,
