factor,HR_factor,HR_treatment,HR_interaction,p_interaction,n,n_treated,q_interaction
immune-desert_APM-low,1.9677815164189292,0.6370850380356711,0.47773652524545207,0.6778179376075162,60,57,0.9487765352411018
TLS-rich,0.9775879852007188,0.517271935389331,2.6088725776412307,0.7577831063572966,60,57,0.9487765352411018
CAF_proxy-high_checkpoint_score-low,1.205669215640103,0.4662125500169783,1.4604293291322608,0.8379320004021993,60,57,0.9487765352411018
CAF_proxy-high_CXCL1_MDSC_axis-low,0.5363178299203988,0.5687832414628734,0.7637513713083174,0.8808464725670369,60,57,0.9487765352411018
antigen-presenting,0.1727454134488145,0.511089508915584,0.7634264844578151,0.9130042731157878,60,57,0.9487765352411018
immune-desert,3.29392636121458,0.5583123582504167,0.8732754534877268,0.9487765352411018,60,57,0.9487765352411018
