factor,HR_factor,HR_treatment,HR_interaction,p_interaction,n,n_treated,q_interaction
CAF_proxy-high_CXCL1_MDSC_axis-low,1.296676179076163,0.4973040645413324,0.4809079311543622,0.31302066154251307,515,471,0.9138992974618254
antigen-presenting,0.5242721077190794,0.47044750055294743,0.44281094027276724,0.3536251118067065,515,471,0.9138992974618254
TLS-rich,0.4771035228552876,0.4223497602642653,0.5882906213215642,0.6016821869364537,515,471,0.9138992974618254
immune-desert_APM-low,0.8149664722653402,0.42943390817544214,0.65164294244123,0.6092661983078836,515,471,0.9138992974618254
immune-desert,0.9711233295424382,0.4061809268706221,0.9393491762942862,0.9305583412310195,515,471,0.9461951096392417
CAF_proxy-high_checkpoint_score-low,1.1975050107044376,0.40469636917911994,0.9556206075456914,0.9461951096392418,515,471,0.9461951096392417
