,sig__APM_score,sig__B_cell,sig__CAF_proxy,sig__CD4_T_cell,sig__CD8_T_cell,sig__CXCL1_MDSC_axis,sig__Dendritic,sig__HLA_II_score,sig__HLA_I_score,sig__IFN_gamma,sig__IL6_STAT3_axis,sig__M2_macrophage,sig__M2_polarization,sig__MDSC_proxy,sig__NK_cell,sig__TGFb_activity,sig__TLS_signature,sig__Treg,sig__angiogenesis,sig__checkpoint_score,sig__cytolytic_score,sig__hypoxia_score,sig__immune_exclusion
CAF_proxy-high_checkpoint_score-low,7.899789940065986,3.281168887549357,45.359871651666964,8.095459262436542,2.9165826340836856,6.570800822376286,8.851381297775726,19.627961598939653,7.841023191055226,0.7434081259663243,16.45316575723808,9.984194226466974,8.133073016938793,0.0,3.346369942826348,21.985826342225028,7.107781240965591,2.940715102157497,19.63269142668689,0.0,0.6734806129621187,0.0,13.975582266530903
immune-desert_APM-low,0.0,0.3605770546239407,0.0,0.0,1.1333862292820145,13.91167670882962,1.0042923178415932,1.1048250604624934,2.1502859192420782,0.8863331352237743,7.085013042868713,1.3184330159905475,2.8839219143985386,8.792433140180671,0.8039192920927629,0.04872483574017052,1.94358839952221,0.0,2.6806849441039566,1.6520934267836296,1.871297020025134,10.295086881495665,2.7774054321415553
TLS-rich,0.5795755079590549,11.55909043772776,0.8062342036333513,6.036766890455038,5.86944106318678,0.0,4.93132929610528,2.6532434890989056,1.1468627962096745,2.7460279115453927,2.1729505204491297,0.5285903856170713,1.0705343225253732,0.0,3.300731801646245,0.0,7.8122149188370535,4.070176634701356,0.45569725378187387,4.25069818760802,5.703003069924284,0.0,0.6152809554690293
CAF_proxy-high_CXCL1_MDSC_axis-low,0.26263491953386986,0.5529290181176715,11.585674361324765,0.4374747639698698,0.5474453459877874,0.0,0.0,3.089516894901352,1.5293317549976686,0.3952419410213734,1.204806590483698,1.0629032448227262,0.0,0.6032004481319757,0.06769289042104602,3.0169931921131825,0.6282008286740951,1.5854411761792664,3.4833923882633386,0.3678195750872021,0.14360798964564456,7.652094407194941,2.860326243145939
antigen-presenting,9.319304457667641,0.0,2.8116631914935795,1.6272789608726757,4.434365742919629,2.8208851477855554,0.0,5.6552954854093125,9.139399648356665,4.284764927241605,3.6840287462177552,0.3373479801972505,0.0,0.0,2.996967474183282,0.0,1.497844863061608,2.608101800304343,0.0,3.8528805519720337,4.221454809970532,1.1887512115110037,0.05338031488199272
immune-desert,3.1238108108620453,0.0,3.946741068728668,2.7855140402922234,3.910220564840996,0.0,2.4594152401439127,4.506121105690767,2.9898569008406994,3.4240077658966395,1.501365326217477,4.551075180833105,3.7053015729232777,2.7786732496705095,4.8890471455084175,0.9445220259097017,0.3498704715219417,3.4199718872756915,0.8932485269201635,4.2637028035042785,4.398584238797427,0.29254151646686477,2.8483389716372316
