covariate,coefficient
CAF_proxy-high_checkpoint_score-low,-0.014337260467831233
immune-desert_APM-low,-0.0313089333478949
TLS-rich,0.07281699486719989
CAF_proxy-high_CXCL1_MDSC_axis-low,-4.9651598593617065e-06
antigen-presenting,-0.22538463415603696
immune-desert,0.11206648072674039
