k,cophenetic,stability,reconstruction_err,explained_variance
3,1.0,0.9999999999999952,98.46084954627779,0.9744225567464155
4,1.0,0.9999999999609513,87.70759761382367,0.9797042827707213
5,0.9984775001237572,0.9999616681871047,78.67814798309651,0.9836680429411548
6,0.9998882349872595,0.9999021682083256,72.606538108726,0.9860914635651624
