threshold,nb_model,nb_treat_all,nb_treat_none,n_flagged
0.05,0.09163748020918294,0.09226119080746534,0.0,1090
0.1,0.04385698369289982,0.041831256963435634,0.0,1067
0.15,-0.007024505335406717,-0.014531610274009343,0.0,1037
0.2,-0.06267092069279853,-0.0779398359161349,0.0,990
0.25,-0.12579762989972648,-0.1498024916438772,0.0,946
0.3,-0.18036202630550854,-0.23193124104701135,0.0,885
0.35,-0.23567772245985558,-0.32669518266601216,0.0,823
0.39999999999999997,-0.29687025220297775,-0.4372531145548464,0.0,771
0.44999999999999996,-0.3449904698765226,-0.567912488605287,0.0,687
0.49999999999999994,-0.38377392889699175,-0.7247037374658157,0.0,605
0.5499999999999999,-0.3996758837232856,-0.9163374860731284,0.0,506
0.6,-0.41020966271649945,-1.1558796718322697,0.0,415
