timeline,low,tertile,medium,high
0.0,1.0,low,,
3.0223390275952693,0.9714285714285718,low,,
5.716162943495401,0.9428571428571431,low,,
5.88042049934297,0.9142857142857145,low,,
8.47568988173456,0.8857142857142859,low,,
14.684625492772668,0.8571428571428573,low,,
16.09724047306176,0.8571428571428573,low,,
19.579500657030223,0.8275862068965517,low,,
19.612352168199735,0.7980295566502464,low,,
22.371879106438897,0.7684729064039411,low,,
23.52168199737188,0.7389162561576355,low,,
25.952693823915897,0.7389162561576355,low,,
25.985545335085412,0.7081280788177339,low,,
31.898817345597895,0.6773399014778325,low,,
35.939553219448094,0.6465517241379309,low,,
36.26806833114323,0.6157635467980294,low,,
36.793692509855454,0.5849753694581279,low,,
39.7503285151117,0.5541871921182264,low,,
42.80551905387647,0.5233990147783251,low,,
44.119579500657025,0.4926108374384235,low,,
44.809461235216816,0.4618226600985221,low,,
52.858081471747695,0.4310344827586205,low,,
53.186596583442835,0.40024630541871914,low,,
53.876478318002626,0.36945812807881767,low,,
54.040735873850196,0.33866995073891626,low,,
56.14323258869908,0.3078817733990148,low,,
59.39553219448094,0.3078817733990148,low,,
63.14060446780552,0.2736726874657908,low,,
66.06438896189225,0.239463601532567,low,,
71.12352168199737,0.239463601532567,low,,
76.54402102496715,0.19955300127713915,low,,
87.84494086727989,0.15964240102171134,low,,
89.25755584756898,0.11973180076628351,low,,
99.01445466491458,0.07982120051085566,low,,
101.05124835742444,0.07982120051085566,low,,
126.87253613666228,0.0,low,,
0.0,,medium,1.0,
0.6898817345597897,,medium,0.9722222222222221,
5.091984231274639,,medium,0.9444444444444446,
6.307490144546649,,medium,0.9166666666666667,
6.40604467805519,,medium,0.888888888888889,
6.800262812089356,,medium,0.8611111111111112,
8.771353482260183,,medium,0.8333333333333335,
14.553219448094612,,medium,0.8055555555555557,
17.21419185282523,,medium,0.7777777777777778,
17.608409986859396,,medium,0.7500000000000001,
17.871222076215506,,medium,0.7222222222222223,
18.265440210249672,,medium,0.6944444444444444,
18.495400788436267,,medium,0.6666666666666669,
19.250985545335084,,medium,0.638888888888889,
19.316688567674113,,medium,0.638888888888889,
21.48488830486202,,medium,0.6098484848484848,
22.404730617608408,,medium,0.5808080808080807,
24.277266754270695,,medium,0.5808080808080807,
25.03285151116951,,medium,0.5502392344497606,
25.62417871222076,,medium,0.5196703880914407,
26.21550591327201,,medium,0.4891015417331206,
31.80026281208935,,medium,0.4891015417331206,
32.65440210249671,,medium,0.4564947722842458,
33.96846254927726,,medium,0.4238880028353712,
35.21681997371879,,medium,0.3912812333864965,
36.892247043363994,,medium,0.3586744639376218,
37.319316688567675,,medium,0.3586744639376218,
40.70302233902759,,medium,0.3586744639376218,
43.13403416557161,,medium,0.3188217457223304,
46.45203679369251,,medium,0.2789690275070391,
59.46123521681997,,medium,0.23911630929174782,
67.04993429697765,,medium,0.1992635910764565,
84.13272010512483,,medium,0.1594108728611652,
98.19316688567672,,medium,0.11955815464587395,
138.07490144546648,,medium,0.11955815464587395,
138.76478318002628,,medium,0.05977907732293697,
168.1011826544021,,medium,0.0,
0.0,,high,,1.0
2.9566360052562417,,high,,1.0
4.467805519053877,,high,,0.9722222222222221
4.697766097240473,,high,,0.9444444444444446
6.176084099868594,,high,,0.9166666666666667
7.7858081471747695,,high,,0.888888888888889
7.982917214191852,,high,,0.8611111111111112
9.888304862023652,,high,,0.8333333333333335
10.019710906701707,,high,,0.8055555555555557
10.21681997371879,,high,,0.7777777777777778
11.85939553219448,,high,,0.7500000000000001
12.02365308804205,,high,,0.7222222222222223
12.713534822601838,,high,,0.6944444444444444
13.009198423127463,,high,,0.6666666666666669
13.76478318002628,,high,,0.638888888888889
14.159001314060449,,high,,0.6111111111111113
14.257555847568987,,high,,0.5833333333333334
16.064388961892245,,high,,0.5555555555555556
18.363994743758212,,high,,0.5277777777777777
23.94875164257556,,high,,0.49999999999999994
24.50722733245729,,high,,0.4722222222222223
26.116951379763467,,high,,0.4444444444444444
27.398160315374508,,high,,0.4166666666666667
28.21944809461235,,high,,0.38888888888888884
31.734559789750328,,high,,0.36111111111111116
33.31143232588699,,high,,0.33333333333333337
35.019710906701704,,high,,0.30555555555555564
36.136662286465175,,high,,0.27777777777777785
42.3784494086728,,high,,0.25000000000000006
42.83837056504599,,high,,0.2222222222222222
44.448094612352165,,high,,0.19444444444444445
46.38633377135348,,high,,0.16666666666666669
50.98554533508541,,high,,0.1388888888888889
53.022339027595265,,high,,0.11111111111111115
81.99737187910644,,high,,0.08333333333333337
84.00131406044677,,high,,0.055555555555555566
91.55716162943494,,high,,0.02777777777777778
107.98291721419184,,high,,0.0
