sample_id,CAF_proxy-high_checkpoint_score-low,immune-desert_APM-low,TLS-rich,CAF_proxy-high_CXCL1_MDSC_axis-low,antigen-presenting,immune-desert
TCGA-3C-AAAU,0.49222298806995857,0.10767183476709204,0.13069497753530893,0.3827760717806569,0.3363300541949977,0.0
TCGA-3C-AALI,0.2787003555892047,0.06863563236719945,0.29445820661044336,0.6042023691713979,0.44054741086892335,0.423354444512508
TCGA-3C-AALJ,0.4121493909341267,0.0,0.2417329258308399,0.5798366943827379,0.43664051860629716,0.33219779455907766
TCGA-3C-AALK,0.6774535661413288,0.16307241425567023,0.1777299427327194,0.37504374536795454,0.2687982131193312,0.19518966365274776
TCGA-4H-AAAK,0.6097338684808471,0.06137766211876291,0.08719797009706509,0.45274937046670266,0.2109049453741444,0.2912856440507326
TCGA-5L-AAT0,0.7121544746704553,0.06705681887257334,0.264518164579472,0.25864800251949444,0.355858959361232,0.27075368328846255
TCGA-5L-AAT1,0.4721930308414379,0.1403968634711924,0.3254785061865768,0.41551857148825144,0.37135816154677675,0.5622804661212867
TCGA-5T-A9QA,0.2959165013486471,0.1319470204927489,0.0267422127160094,0.11388565932662069,0.5591313996352407,0.12333573504301838
TCGA-A1-A0SB,0.4584033762809579,0.1875347029109712,0.0036555852978223603,0.17452396646444673,0.13429139147814217,0.0
TCGA-A1-A0SD,0.6650081114198181,0.16544087424346676,0.12438992345104304,0.3629833743456777,0.4318706562282609,0.13760670747364626
TCGA-A1-A0SE,0.6476792939301325,0.07892699628922813,0.11564562954625984,0.35415657212215956,0.2687135373204498,0.07613721688342007
TCGA-A1-A0SF,0.4082063037386834,0.0,0.2683891318194352,0.48573654569196356,0.39391002352518456,0.2877848141036666
TCGA-A1-A0SG,0.5040694748079599,0.008366279775199171,0.38412045360969715,0.5292430652034825,0.25044252377898363,0.022401616082875737
TCGA-A1-A0SH,0.6743113569359024,0.14300147595914234,0.05114045122405037,0.3659696463076968,0.15039989120343522,0.2697984349204166
TCGA-A1-A0SI,0.40147719973143386,0.14760235653497955,0.14840541692355225,0.5824316332761733,0.37651835557906616,0.4813208739753049
TCGA-A1-A0SJ,0.5067037409636711,0.16926687874997567,0.175696540480398,0.5693999303888737,0.31424661157668204,0.09293444471628942
TCGA-A1-A0SK,0.0,0.22870107152225636,0.0710875680334841,0.8927806146771287,0.0,0.0
TCGA-A1-A0SM,0.670321919601651,0.22504927593527554,0.08442177779778715,0.3788355060707686,0.12519269662424878,0.20471190866399108
TCGA-A1-A0SN,0.47041156601779366,0.08437832113881538,0.10944400373639927,0.39110583490563355,0.3617514925299141,0.49571506849384933
TCGA-A1-A0SO,0.15342868731370807,0.23835927856715217,0.14278365199365833,0.3494382038034167,0.2944943038179872,0.08950122719056959
TCGA-A1-A0SP,0.3996636815484241,0.42441299629510737,0.1947025280664872,0.3277044637069228,0.23663146850667469,0.37275592352779996
TCGA-A1-A0SQ,0.4969992177855647,0.2615296375133338,0.19071565240341923,0.3162698213710856,0.12464893043681952,0.14462833873597128
TCGA-A2-A04N,0.5942874787247324,0.12482121166917935,0.21163269921117295,0.510280517714024,0.1654771882518396,0.09267923693095277
TCGA-A2-A04P,0.5497390191378201,0.4746287355627006,0.42824013550767603,0.35476016879525246,0.43558963473904383,0.13729923979131134
TCGA-A2-A04Q,0.4119866652763846,0.34571716036040706,0.5921763983840703,0.1799749855966474,0.430156953985379,0.724538063746359
TCGA-A2-A04R,0.5723446326525294,0.1709535146277422,0.07062804385752473,0.43549615864302504,0.1512785576497619,0.009068201660266563
