a,b,test_statistic,p_value,-log2(p)
high,low,9.981273786395034,0.0015814024858164183,9.304579687116274
high,medium,5.194392778154642,0.02265987030472696,5.4637165859535735
low,medium,0.10255874439833777,0.7487803827869647,0.41738545647605396
