threshold,nb_model,nb_treat_all,nb_treat_none,n_flagged
0.05,0.06161464931475296,0.06253598986525394,0.0,910
0.1,0.009846827133479216,0.010454655968879165,0.0,899
0.15,-0.043892392843351793,-0.047753893680010304,0.0,874
0.2,-0.09928884026258204,-0.11323851203501094,0.0,828
0.25,-0.162654996353027,-0.18745441283734499,0.0,798
0.3,-0.2158487027195999,-0.2722725851828697,0.0,747
0.35,-0.2736912977613197,-0.37013970712001343,0.0,676
0.39999999999999997,-0.32786287381473367,-0.4843180160466811,0.0,612
0.44999999999999996,-0.3624428088323055,-0.6192560175054703,0.0,536
0.49999999999999994,-0.38512035010940915,-0.7811816192560174,0.0,458
0.5499999999999999,-0.4029905178701676,-0.9790906880622413,0.0,385
0.6,-0.4075492341356673,-1.2264770240700218,0.0,310
