sample_id,sig__APM_score,sig__B_cell,sig__CAF_proxy,sig__CD4_T_cell,sig__CD8_T_cell,sig__CXCL1_MDSC_axis,sig__Dendritic,sig__HLA_II_score,sig__HLA_I_score,sig__IFN_gamma,sig__IL6_STAT3_axis,sig__M2_macrophage,sig__M2_polarization,sig__MDSC_proxy,sig__NK_cell,sig__TGFb_activity,sig__TLS_signature,sig__Treg,sig__angiogenesis,sig__checkpoint_score,sig__cytolytic_score,sig__hypoxia_score,sig__immune_exclusion
TCGA-3C-AAAU,-0.5219886963608521,0.48257032774324626,-0.7877021561044705,-1.1779678811489256,-1.3998038029507192,0.08518817738414584,-0.6129096574809826,-1.1519616534810604,-0.44454137177661107,-1.3753816692976049,-1.5590146867096377,-1.4127742538368908,-1.3804546656431274,-0.74237242430985,-1.445177389954913,-0.8061252498988332,0.4050646901589414,-0.8523856364390461,-0.6045790398111468,-1.3158609961376664,-1.6386052185098672,-0.9365644975115514,-1.521806843297998
TCGA-3C-AALI,0.569478669449806,1.3178529885536525,0.16601647112351797,0.8339483219475469,1.5900009097522148,-1.2794356301322611,0.024347834448165743,0.25280751789634087,0.6745543717471364,1.5844293184197349,0.29808986101172397,-0.16110764411962045,0.05182875763450937,-0.057849580234016755,0.9842260733294004,-0.5000835617521071,0.9452356653547854,1.859985034585503,-0.13379732009443082,1.5550733007418516,1.40850565819195,0.4826632428628987,0.3523140375629467
TCGA-3C-AALJ,0.7501305285770153,0.841430759050776,0.672694104700292,1.17573082591011,1.3263017016875729,-1.4490539612237299,-0.05509410663321103,0.533644088693263,0.5932524532149722,0.6798991951624098,-0.4342321733848955,0.14942653642843093,0.058217405833677335,-0.9734709972592561,0.39815527091684816,0.011183211517206875,0.730101328833765,0.3806129450151948,0.3681037236140093,0.5967859768541751,0.9980784661107877,0.390243575743942,0.32851615179914284
TCGA-3C-AALK,-0.4331905350212265,0.21548750107571893,0.8655207307317924,0.3323013278222774,-0.2299403440416175,-0.15279049900045577,0.40154597696217054,0.12517672941033617,-0.15927359289377144,-0.18446414183225934,0.7661533463719776,-0.48989152402474706,-0.21030078118887496,-0.4408657772251031,-0.19539789306687222,1.4811681712768585,0.5727303657714138,0.6278742028883653,0.030230521450641215,-0.31839093407814273,-0.15538308037272128,-0.2329769781289244,0.6666507509158406
TCGA-4H-AAAK,-0.4111528525553024,-0.1884769959178026,1.045795771687163,-0.057266428284156,-0.4874326947062271,-0.7166086193828853,-0.13578227054517666,0.04086906773929204,-0.2949430677688487,-0.4718800151550445,-0.37426206604861084,0.20302753741593,-0.0447912487052681,-0.8199900529748447,-0.17684427764009233,1.8602146179378372,-0.48356517973827656,0.09828706777688814,-0.6548898124472406,-0.2794365222047797,-0.5292461849739529,-0.1925559830447311,0.660851285591841
TCGA-5L-AAT0,0.5638640069250043,1.0211375886741265,0.9653050707103711,0.962749046694335,0.8307370406203723,-0.28776462565251193,1.000896461973446,0.7697492117428724,0.11568438043536483,0.5983018799464531,-0.014146666491284323,0.05638432501402047,-0.724625939662794,-0.2640463098245107,1.0536470748978786,1.4490733191691587,1.6000956279954268,0.127965150681135,-0.05870572174178895,0.3076838432173864,0.6744907594765952,-1.4697691231757113,0.5979011254536538
TCGA-5L-AAT1,0.6020595465650614,1.0264631205759538,0.9923331981701241,1.5652669313808452,2.455667340438945,-0.3418554069469615,1.9806120291584253,1.1728961484209832,1.1855173751240864,1.5835417160820682,0.8713792908441872,1.0743728002026105,0.6749862053961613,-0.1424468721652047,2.4080728105420426,0.6141410365711351,1.8345542265991848,1.1445049845411752,-0.19543036662237173,1.7642370402069247,2.6693946623166918,0.25027773488645766,0.5799695061299597
TCGA-5T-A9QA,-0.26153004324790563,-0.7577043246306596,-5.117933119267644,-1.489065813116324,-0.3532343740119343,-0.16543651352659114,-1.4096977351741502,-1.5814470676940782,0.3642488552673531,-0.7921761550583677,-1.491995966969888,-0.8865773128636175,-1.3103124272152327,-0.753439471284656,-0.4454235468903247,-0.6110133837592409,-1.794309169210639,-0.9573110452683069,-1.7711101403481968,-0.9030671751195589,-0.5496939512898293,-1.6370798368366435,-2.8921013536805913
TCGA-A1-A0SB,-2.779047682657101,-1.7962233419598588,-3.29553187695417,-1.8976070744432898,-1.5287572619425922,0.7727672425813386,-1.3675976339908604,-1.9251729178346977,-2.630939121641497,-1.6858853037582378,-1.9510345186510856,-2.0557672492248953,-1.426293793012824,-1.2282662436560756,-2.010409654956343,-0.04216445436606007,-1.3068246261469552,-1.6522370077883035,-2.3999476876418426,-1.5132248829252295,-1.8202680674110858,-1.7219560411417523,-2.2924427246677395
TCGA-A1-A0SD,0.9802680500659271,-0.24763844072890118,0.6213802570138846,-0.08018805755398399,-0.5058533998690682,-0.1611899842398237,-0.07513421021942045,-0.6766700216130113,0.1809380519070364,0.30084347846716575,0.5260925569041122,-0.4062801063512429,-0.030032677635869264,-0.5334387165866782,-0.4894438249429272,0.841590497714056,0.8183026011118845,-0.04823660331607282,1.1084529357798127,-0.14495367684275506,-0.4768462912799933,-0.12552088282840212,0.3200863064102623
