signature,cut,low_n_ctrl,low_n_trt,low_orr_ctrl,low_orr_trt,low_ARR,low_OR,low_OR_ci_lo,low_OR_ci_hi,high_n_ctrl,high_n_trt,high_orr_ctrl,high_orr_trt,high_ARR,high_OR,high_OR_ci_lo,high_OR_ci_hi,delta_ARR,delta_OR
sig__IFN_gamma,5454.661183485099,95,29,0.10526315789473684,0.1724137931034483,0.06715063520871145,1.82798833819242,0.5933434705083113,5.631715070033249,84,40,0.25,0.65,0.4,5.39775461106656,2.41168969857191,12.081054564583134,0.33284936479128857,3.5697662728741397
sig__checkpoint_score,851.3973807524981,90,34,0.1,0.23529411764705882,0.13529411764705881,2.751737835153923,0.9883700869516078,7.661159734985319,89,35,0.24719101123595505,0.6571428571428571,0.4099518459069021,5.64,2.4452574874887656,13.008691380255367,0.27465772825984325,2.888262164846077
sig__B_cell,-1456.5622275833794,90,34,0.13333333333333333,0.29411764705882354,0.1607843137254902,2.6914285714285713,1.0539639594985097,6.872898916343148,89,35,0.21348314606741572,0.6,0.3865168539325843,5.360742705570292,2.328835167060815,12.339886807701511,0.22573254020709407,2.669314134141721
sig__HLA_I_score,6713.112474146478,95,29,0.12631578947368421,0.27586206896551724,0.14954627949183302,2.64093023255814,0.9793952488198873,7.1212439529837015,84,40,0.2261904761904762,0.575,0.3488095238095238,4.510622710622711,2.028467856685462,10.030091021915664,0.19926324431769077,1.8696924780645707
sig__CAF_proxy,8106.814184888236,89,35,0.20224719101123595,0.5714285714285714,0.36918138041733545,5.111595466434176,2.2185906047657085,11.777030046167383,90,34,0.14444444444444443,0.3235294117647059,0.17908496732026147,2.80929866036249,1.1286055370298853,6.992840903371804,-0.19009641309707398,-2.302296806071686
