k,cdf_area,delta_k
2,0.4908889777941928,
3,0.598865005187976,0.219960178936942
4,0.6589949328242471,0.10040648078509297
5,0.7035298169697103,0.06758000999279386
6,0.7332371342301041,0.04222609553117603
