k,pac,cdf_area,silhouette,min_cluster_frac,cluster_sizes
2,0.6616452301898342,0.4908889777941928,0.6776803401973841,0.46855059252506837,"{""1"": 583, ""2"": 514}"
3,0.6766829242326451,0.598865005187976,0.5704074545811291,0.08751139471285324,"{""1"": 533, ""2"": 96, ""3"": 468}"
4,0.5953596071568777,0.6589949328242471,0.519851352250738,0.05104831358249772,"{""1"": 505, ""2"": 459, ""3"": 77, ""4"": 56}"
5,0.5599262088376394,0.7035298169697103,0.3927468142152774,0.0054694621695533276,"{""1"": 6, ""2"": 21, ""3"": 467, ""4"": 487, ""5"": 116}"
6,0.5190466368130735,0.7332371342301041,0.3899788873307012,0.006381039197812215,"{""1"": 465, ""2"": 480, ""3"": 14, ""4"": 75, ""5"": 7, ""6"": 56}"
