sig_col,n,n_pcr,sig_beta,arm_beta,interaction_beta,interaction_se,interaction_OR,interaction_p,converged,q_interaction
Mitotic_sig,100,36,-0.7757368525940822,0.5458014899482686,1.3895416165869678,0.6433359839563672,4.013010134050477,0.030780384714029108,True,0.4309253859964075
TAMsurr_TcClassII_ratio_sig,100,36,0.013492149598521125,0.8404835368217621,0.5280576716708743,0.529206857066627,1.6956356269218122,0.31836253935441616,True,0.9580374090656996
PDL1,100,36,1.0718769417529983,1.1540469560590363,-0.5982453463311961,0.6131991034203906,0.5497754557823724,0.32925601353241774,True,0.9580374090656996
Mast.cells_sig,100,36,0.42951634641764125,0.8252660710537341,-0.5317011056013426,0.5540907075225386,0.5876045416255893,0.3372605102531162,True,0.9580374090656996
STAT1_sig,100,36,0.5646935816980725,0.9828964452677995,0.4341733625191658,0.5952881055461059,1.5436864622943218,0.4657876122171549,True,0.9580374090656996
PARPi7_sig.,100,36,0.2888147835759153,0.8183808183557127,0.21973648191537234,0.548450894121795,1.2457484100951308,0.6886783230323479,True,0.9580374090656996
SET.index,99,36,-1.216265767829131,0.5591795290205785,-0.4974707548391911,1.2805516048505166,0.6080666660981229,0.6976596573458704,True,0.9580374090656996
B.cells_sig,100,36,0.8084297196114706,1.1957178753894109,-0.23560936956257167,0.6162677604793803,0.7900892465679414,0.7022265736787189,True,0.9580374090656996
CD68,100,36,0.4558474776785584,1.0365092266687221,-0.23150054656737037,0.6364014436214623,0.7933422618880118,0.7160335294191589,True,0.9580374090656996
T.cells_sig,100,36,0.5823469162834767,1.0228167442905014,-0.17263373406489924,0.5656574759295399,0.8414457513261763,0.7602204667030454,True,0.9580374090656996
Dendritic.cells_sig,100,36,0.4202687039153087,1.0479461853667762,0.11667704263221156,0.5188645616179259,1.1237564456557834,0.822080455134355,True,0.9580374090656996
PD1,100,36,0.5646465560921285,1.1214261501536382,0.07905580151538172,0.5680255389598623,1.0822647123963591,0.889310684867143,True,0.9580374090656996
ESR1_PGR_ave,100,36,-1.6918928367398198,0.888545091530838,0.12990707969195706,0.9359126609116356,1.1387225679567097,0.8896061655610067,True,0.9580374090656996
TIS_sig,100,36,0.6672393398967769,1.152922420728082,-0.022909194896832165,0.5906288502504721,0.9773512282231016,0.9690595701138223,True,0.9690595701138223
