tertile,n_ctrl,n_trt,orr_ctrl,orr_trt,arr,or,or_ci_lo,or_ci_hi
low,59,39,0.0847457627118644,0.23076923076923078,0.14602346805736638,3.0864381520119224,0.9872341933109301,9.6492813262947
med,58,39,0.1724137931034483,0.38461538461538464,0.21220159151193635,2.922254616132167,1.1624767105765261,7.346015592235467
high,62,36,0.25806451612903225,0.5,0.24193548387096775,2.818181818181818,1.1987199555712695,6.625524772001995
