tertile,n_ctrl,n_trt,orr_ctrl,orr_trt,arr,or,or_ci_lo,or_ci_hi
low,53,49,0.09433962264150944,0.3877551020408163,0.2934154793993069,5.63785394932936,1.9746466676836507,16.09675172483103
med,61,41,0.16393442622950818,0.4146341463414634,0.2506997201119552,3.503401360544218,1.4190321163198265,8.64943150468961
high,65,38,0.24615384615384617,0.5526315789473685,0.3064777327935223,3.685714285714286,1.5882962107640104,8.552869234249378
