n,n_pcr,beta_score,beta_arm,beta_interaction,or_interaction,or_ci_lo,or_ci_hi,p_interaction,p_arm,p_score,arm_name,signature,targeted_class
248,62,0.42547507333148765,1.384955649744531,-0.8716901531891323,0.41824405500583073,0.21572533219377743,0.8108833940308385,0.009864108613594156,4.799643412194834e-05,0.08072604921311252,Pembrolizumab,CAF_proxy,ICI
248,62,0.44281727807292326,1.0380872202410323,1.0629943928020789,2.8950268708694677,1.0790027724084574,7.767524604546203,0.0347754289685765,0.009996409889270405,0.05111395988212231,Pembrolizumab,IFN_gamma,ICI
248,62,0.1982285634900977,1.0931157749605351,0.8618653209404673,2.3675728606077953,1.0342976997844195,5.419524041728917,0.04137270930626094,0.0030531922646333653,0.34016935300981666,Pembrolizumab,HLA_I_score,ICI
248,62,0.4295675858144607,1.4158108105082405,0.7874338171757358,2.197749356996871,0.9368553681194839,5.155654117535186,0.070290878166443,0.00010059323737932063,0.0431840573387223,Pembrolizumab,checkpoint_score,ICI
248,62,0.20238038483630963,1.3823766306487129,0.632393974501807,1.8821109158115685,0.9185044818261898,3.8566404078661694,0.08403873118028421,6.70620056129061e-05,0.3180920597340041,Pembrolizumab,B_cell,ICI
248,62,0.32140727648260414,1.2723653938771367,0.5746586707851136,1.776524043857617,0.8386660756422014,3.7631636357623166,0.13347355073345102,0.0003170096238859874,0.11672063745705218,Pembrolizumab,NK_cell,ICI
248,62,0.4496120862656645,1.3736680140687623,0.6111364880220745,1.8425242160274111,0.8229281042710619,4.125385278528768,0.13726093031363257,0.00016138329592760523,0.04986996880118297,Pembrolizumab,TLS_signature,ICI
248,62,0.2950077745885619,1.3747722661794561,-0.4887997375715557,0.6133621480885837,0.3210321818208578,1.171886016454811,0.138932238603602,5.931688116488017e-05,0.18841409765179606,Pembrolizumab,TGFb_activity,ICI
248,62,0.42537583964758474,1.3411193970500024,0.5914526734430114,1.8066109258248497,0.8156032981804537,4.001753112807533,0.14494181319984487,0.00019672359104243921,0.047035956690727236,Pembrolizumab,cytolytic_score,ICI
248,62,0.2728649766008351,1.5481141512720553,0.5155651764564193,1.6745846702261764,0.7879886473001217,3.5587236280175256,0.18009535020091816,9.493069104952336e-06,0.1697480761794784,Pembrolizumab,IL6_STAT3_axis,ICI
248,62,0.4313541578660945,1.3883855994841527,0.503659636383895,1.6547660451410826,0.7635611393915589,3.5861577061580494,0.20183276358937996,9.925044955925431e-05,0.04521557378078807,Pembrolizumab,CD8_T_cell,ICI
248,62,0.3979023653216667,1.5364591819736395,0.4930869706284236,1.6373629176788411,0.7586739469753419,3.533741121437116,0.2090078729643482,1.375554431670353e-05,0.061371521707439876,Pembrolizumab,M2_polarization,ICI
248,62,0.49630536538051784,1.3949314487984703,-0.4116488172973096,0.6625569137282167,0.34243855706754334,1.2819282609068867,0.22154753479272826,7.610504662777886e-05,0.03868202931671824,Pembrolizumab,immune_exclusion,ICI
248,62,0.44698772432734313,1.3981004892010565,0.32876795506027534,1.389255448485783,0.6648591657920501,2.9029165881291243,0.38191078253627586,6.59513526333436e-05,0.04658402310151152,Pembrolizumab,CD4_T_cell,ICI
248,62,0.18916591926596146,1.425751563787198,0.2882828541734911,1.3341346163029268,0.6593623192340129,2.6994493353601112,0.4227150611768946,2.1883294345872878e-05,0.3373645119179257,Pembrolizumab,APM_score,ICI
248,62,0.20244617125864423,1.4406838667239377,-0.24174666373215228,0.7852550859481928,0.399279346601229,1.5443462209011884,0.48358422842360693,3.286175110760302e-05,0.3683714165472556,Pembrolizumab,MDSC_proxy,ICI
248,62,-0.13630983572692817,1.409349425138419,0.21035674793291523,1.2341182505683925,0.6498120962109258,2.3438281085669663,0.5203728791487725,2.1338053002481718e-05,0.5165001219564418,Pembrolizumab,angiogenesis,ICI
248,62,-0.29408025612337874,1.4376856634489372,0.19944052637362955,1.2207196066502488,0.6402021714400815,2.3276340264644144,0.5447445164967779,2.7022966806805857e-05,0.19793838314726753,Pembrolizumab,hypoxia_score,ICI
248,62,0.5461146148982533,1.5727628323913128,0.1719559466095226,1.187625513131005,0.5798163199461625,2.4325882368586096,0.6383176242857713,8.723211356036852e-06,0.010293326855093729,Pembrolizumab,Treg,ICI
248,62,-0.11181280824350201,1.382719871625794,0.17315259590481627,1.189047535025424,0.5711447797844382,2.4754389615250387,0.6434903846478368,6.709485315973629e-05,0.5932253679183366,Pembrolizumab,CXCL1_MDSC_axis,ICI
248,62,0.48901219419433245,1.4288887415852625,0.15767816599444928,1.1707893342465698,0.5540565196515463,2.4740213616610958,0.679557002695232,4.201138340981726e-05,0.020671033191024597,Pembrolizumab,M2_macrophage,ICI
248,62,0.5276856831970616,1.3597032874510002,0.1399561312865015,1.1502233389323144,0.5522685276378876,2.3955986322147944,0.708491758463286,9.255006690915374e-05,0.013286220864988842,Pembrolizumab,Dendritic,ICI
248,62,0.604931898288922,1.5618348531066975,0.08275081413642442,1.0862710914202054,0.5172874827915833,2.281100786911296,0.8269535918751296,1.1698570304984793e-05,0.014946869535775838,Pembrolizumab,HLA_II_score,ICI
