n,n_pcr,beta_score,beta_arm,beta_interaction,or_interaction,or_ci_lo,or_ci_hi,p_interaction,p_arm,p_score,arm_name,signature,targeted_class,q_global_bh
248,62,0.42547507333148765,1.384955649744531,-0.8716901531891323,0.41824405500583073,0.21572533219377743,0.8108833940308385,0.009864108613594156,4.799643412194834e-05,0.08072604921311252,Pembrolizumab,CAF_proxy,ICI,0.9535156334747247
248,62,0.44281727807292326,1.0380872202410323,1.0629943928020789,2.8950268708694677,1.0790027724084574,7.767524604546203,0.0347754289685765,0.009996409889270405,0.05111395988212231,Pembrolizumab,IFN_gamma,ICI,0.9535156334747247
248,62,0.1982285634900977,1.0931157749605351,0.8618653209404673,2.3675728606077953,1.0342976997844195,5.419524041728917,0.04137270930626094,0.0030531922646333653,0.34016935300981666,Pembrolizumab,HLA_I_score,ICI,0.9535156334747247
248,62,0.4295675858144607,1.4158108105082405,0.7874338171757358,2.197749356996871,0.9368553681194839,5.155654117535186,0.070290878166443,0.00010059323737932063,0.0431840573387223,Pembrolizumab,checkpoint_score,ICI,0.9627593742920588
248,62,0.20238038483630963,1.3823766306487129,0.632393974501807,1.8821109158115685,0.9185044818261898,3.8566404078661694,0.08403873118028421,6.70620056129061e-05,0.3180920597340041,Pembrolizumab,B_cell,ICI,0.9627593742920588
248,62,0.32140727648260414,1.2723653938771367,0.5746586707851136,1.776524043857617,0.8386660756422014,3.7631636357623166,0.13347355073345102,0.0003170096238859874,0.11672063745705218,Pembrolizumab,NK_cell,ICI,0.9627593742920588
248,62,0.4496120862656645,1.3736680140687623,0.6111364880220745,1.8425242160274111,0.8229281042710619,4.125385278528768,0.13726093031363257,0.00016138329592760523,0.04986996880118297,Pembrolizumab,TLS_signature,ICI,0.9627593742920588
248,62,0.2950077745885619,1.3747722661794561,-0.4887997375715557,0.6133621480885837,0.3210321818208578,1.171886016454811,0.138932238603602,5.931688116488017e-05,0.18841409765179606,Pembrolizumab,TGFb_activity,ICI,0.9627593742920588
248,62,0.42537583964758474,1.3411193970500024,0.5914526734430114,1.8066109258248497,0.8156032981804537,4.001753112807533,0.14494181319984487,0.00019672359104243921,0.047035956690727236,Pembrolizumab,cytolytic_score,ICI,0.9627593742920588
248,62,0.2728649766008351,1.5481141512720553,0.5155651764564193,1.6745846702261764,0.7879886473001217,3.5587236280175256,0.18009535020091816,9.493069104952336e-06,0.1697480761794784,Pembrolizumab,IL6_STAT3_axis,ICI,0.9627593742920588
