n,n_pcr,beta_score,beta_arm,beta_interaction,or_interaction,or_ci_lo,or_ci_hi,p_interaction,p_arm,p_score,arm_name,signature,targeted_class
231,61,-0.1390889215644869,2.1609185710826027,1.025250783555049,2.7877945059245888,1.155733715473899,6.724557831279122,0.022481396536815235,4.527803284425645e-08,0.5121582931269724,T-DM1+Pertuzumab,hypoxia_score,HER2
231,61,0.6013923720717786,2.082030911835265,-0.47653741748796297,0.6209296940873,0.295041787123716,1.3067765375135794,0.2094057894200807,2.5992611391489213e-08,0.011681288329069069,T-DM1+Pertuzumab,HLA_II_score,HER2
231,61,0.492993211288225,2.076239119787832,-0.4249387398720031,0.6538098363773246,0.31524447612374207,1.3559866532790612,0.25356112133342823,2.33683494911037e-08,0.018904080176953764,T-DM1+Pertuzumab,Dendritic,HER2
231,61,0.3220759597834206,1.940262228230903,0.2945681033758121,1.342546392197902,0.6049209334542759,2.97961388922548,0.4689490578099891,2.0551931408862678e-07,0.13117499607054095,T-DM1+Pertuzumab,MDSC_proxy,HER2
231,61,0.47224183973240735,2.001956026044386,-0.26824386198882355,0.764721271912273,0.36312416191754127,1.6104646428014928,0.4802356578202457,7.183005328190017e-08,0.03728187345749207,T-DM1+Pertuzumab,TLS_signature,HER2
231,61,0.30534977351648673,2.0003890799641124,-0.30384450966699916,0.7379756056026071,0.30757609681968945,1.7706447285589972,0.496217794802599,3.7281373654703464e-07,0.14114777089472932,T-DM1+Pertuzumab,CAF_proxy,HER2
231,61,0.42639582561860756,2.0078888463291524,-0.2247558522193471,0.7987111985229722,0.38442107430104994,1.6594812857382943,0.546906278221053,6.02791104482831e-08,0.050859363480060024,T-DM1+Pertuzumab,CD4_T_cell,HER2
231,61,0.21038021115540215,2.0121376742820254,-0.22881004457581836,0.7954796248238931,0.35269166395883106,1.7941672519479388,0.5813783022296999,5.465650263593804e-08,0.291722519160155,T-DM1+Pertuzumab,TGFb_activity,HER2
231,61,0.3877812161576203,2.0029959752245574,-0.2219301146272065,0.8009713385593388,0.3527922976556429,1.818506496476163,0.5957705058980806,8.195554437819076e-08,0.05880355713550569,T-DM1+Pertuzumab,M2_polarization,HER2
231,61,-0.014741670271361055,2.0500014668598423,0.18843044466801656,1.2073531022201478,0.4897761850638545,2.976260499988513,0.682294142645717,1.0299375973843087e-07,0.9423402874892679,T-DM1+Pertuzumab,CXCL1_MDSC_axis,HER2
231,61,0.3521864271509678,2.043553976233721,0.1389958581645223,1.1491193405304958,0.5276761452629338,2.5024350079787423,0.7263069388137201,3.956221288744162e-08,0.0705340407638557,T-DM1+Pertuzumab,NK_cell,HER2
231,61,0.4837626764540923,1.9641489474699538,0.13563439666338478,1.1452631050317768,0.46342316509031467,2.830302148342991,0.7688910939384381,1.9413535327884306e-07,0.021725210715758024,T-DM1+Pertuzumab,immune_exclusion,HER2
231,61,0.4697109095972413,2.040261017138449,-0.08824349267834036,0.9155379227996585,0.4221391800267323,1.9856240020915215,0.8232211995835405,4.20060579436146e-08,0.026798551939880077,T-DM1+Pertuzumab,CD8_T_cell,HER2
231,61,0.22683204596847412,1.9960781287659624,-0.09788969761563514,0.9067489148054141,0.37967518813950135,2.1655183698722587,0.8255675349611998,5.5555589419172177e-08,0.2567982084764606,T-DM1+Pertuzumab,HLA_I_score,HER2
231,61,0.4670415919854306,2.001926713533816,0.08692706580657901,1.0908171189502223,0.4796605397919764,2.4806751614608586,0.8357228497849815,9.450720639299911e-08,0.025618096422200386,T-DM1+Pertuzumab,checkpoint_score,HER2
231,61,-0.12789188748923716,2.050005629393477,-0.06088246570962544,0.940933825266531,0.45026422154501045,1.9663042746162376,0.871383589486283,3.0333292640938745e-08,0.5254011772575112,T-DM1+Pertuzumab,angiogenesis,HER2
231,61,0.5336634087618722,2.0711137217123707,-0.06168396231569739,0.9401799721447569,0.4229273345301611,2.090047882585082,0.8797102653712071,3.711527087892796e-08,0.009381071203735979,T-DM1+Pertuzumab,Treg,HER2
231,61,0.23612073539046718,1.9455658137417082,0.0470015837311958,1.0481236690244928,0.5084174266729055,2.1607505328021226,0.8986748327702396,1.418944491895426e-07,0.2341902054486602,T-DM1+Pertuzumab,B_cell,HER2
231,61,0.2968593335759723,2.036514373050557,-0.036716459258130926,0.9639494155365945,0.4101695103220601,2.265401138626191,0.9328818732728408,2.9691005571482088e-08,0.11665175257785212,T-DM1+Pertuzumab,IL6_STAT3_axis,HER2
231,61,0.4787520684702447,1.9853671531360189,-0.0317019644618614,0.9687952744777386,0.4051537114661476,2.3165634604554723,0.9431806212384105,1.3054140069212513e-07,0.030466299195857912,T-DM1+Pertuzumab,IFN_gamma,HER2
231,61,0.19630688904010954,2.002052108923771,-0.023800913303588488,0.9764800946036951,0.39820545297190985,2.394526162414215,0.9585236777136398,4.274521770145574e-08,0.30248337004070414,T-DM1+Pertuzumab,APM_score,HER2
231,61,0.46842398678879726,2.0496777047685817,0.01330616777066755,1.013395088782623,0.46866349355110315,2.191272885769925,0.9730223184514197,4.2127615821208195e-08,0.025789253291635145,T-DM1+Pertuzumab,cytolytic_score,HER2
231,61,0.47678681920039523,1.9854240496514237,0.006126159480591836,1.0061449627732957,0.4404585460536354,2.298349515940153,0.9884029672841691,1.4822710691116693e-07,0.020442641528912463,T-DM1+Pertuzumab,M2_macrophage,HER2
