n,n_pcr,beta_score,beta_arm,beta_interaction,or_interaction,or_ci_lo,or_ci_hi,p_interaction,p_arm,p_score,arm_name,signature,targeted_class
294,64,0.3976142053814095,0.37291112890705375,0.7853508551078163,2.1931762928644543,1.0506076598646052,4.578323988426423,0.03648901500188497,0.2797945643415791,0.06192614323714943,AMG-386,M2_polarization,angiogenesis
294,64,0.29518827923103935,0.49192238859422227,0.6795225238343174,1.9729354776292947,1.0074011585219682,3.8638772309923355,0.047539032461336325,0.13076729133861686,0.1268478679323081,AMG-386,IL6_STAT3_axis,angiogenesis
294,64,0.49432469186452166,0.41070846088597796,0.7300642456951904,2.0752139269528875,0.9191631663359782,4.685253935692503,0.0789018271372552,0.2545318698132306,0.03189991186526414,AMG-386,IFN_gamma,angiogenesis
294,64,0.46716868618866886,0.4964944299725305,0.579331286518442,1.7848444820221476,0.8759632195041483,3.6367620855224985,0.1106471124293082,0.14518309065259244,0.03199340616217734,AMG-386,CD8_T_cell,angiogenesis
294,64,0.4675731350914783,0.5388113881060113,0.5391773879357684,1.7145958346814136,0.8577324230238149,3.4274545270690195,0.12708218968532195,0.10919258176308244,0.029625996407553822,AMG-386,cytolytic_score,angiogenesis
294,64,0.4630851007125594,0.46722475579299616,0.5283870075000069,1.6961941524530975,0.8383705991056466,3.4317455858844226,0.14166289963301645,0.17125933935594206,0.030963847919002984,AMG-386,checkpoint_score,angiogenesis
294,64,0.22684870684410438,0.6144383043520258,0.48822497168470474,1.6294213824148136,0.8280496408765289,3.2063464681418705,0.15746748116285547,0.04912185838454228,0.2692792242284223,AMG-386,HLA_I_score,angiogenesis
294,64,-0.19828925125067476,0.6724641932319756,0.37077239288864167,1.4488532665480964,0.8089322610089054,2.5949957606697307,0.21243942537495608,0.02343108408959883,0.35742175254912634,AMG-386,hypoxia_score,angiogenesis
294,64,0.5070386609197043,0.548241819949339,0.3836011367006504,1.4675599691167165,0.747273770430611,2.8821194429356,0.265293056284557,0.09763182378952993,0.021094532683161513,AMG-386,M2_macrophage,angiogenesis
294,64,0.6152422740807104,0.7239084959300814,0.4154801100804671,1.51509797991369,0.713488901369868,3.2173196868672256,0.2795441573798918,0.03367730068185474,0.01573103362073825,AMG-386,HLA_II_score,angiogenesis
294,64,0.3617933945034572,0.6824064580897424,0.33793510726406106,1.402049517624074,0.7546346254702716,2.6048935253201386,0.28496680119629636,0.030062014676437807,0.07602640249600634,AMG-386,NK_cell,angiogenesis
294,64,0.19593862659089997,0.6583638492424811,0.2967041114337603,1.3454171469960043,0.7560018012105931,2.3943690299841367,0.31303620715088,0.03026656908767288,0.3218791390236536,AMG-386,B_cell,angiogenesis
294,64,0.5231073289954784,0.646920543928874,0.3323067954956469,1.394180511207625,0.7267993240946583,2.674382368547721,0.3173865263008353,0.045512368780931366,0.01024511040183869,AMG-386,Treg,angiogenesis
294,64,0.21415248675269966,0.6175821789589925,0.3081919254429609,1.3609621671397587,0.7401398137903333,2.502524503985735,0.3213498409718992,0.04413846109013471,0.2975148737722866,AMG-386,APM_score,angiogenesis
294,64,0.4231534082817883,0.575043243623131,0.3630575015660834,1.4377185279313405,0.6845894967731981,3.0193781460276496,0.33755334086025846,0.07799238814311403,0.0545977127850651,AMG-386,TLS_signature,angiogenesis
294,64,-0.1356962865413125,0.7133983794891037,0.27589034560930237,1.3177033641454092,0.7396319098966024,2.3475760478247385,0.3490933795559287,0.015456167377967256,0.49286719215110775,AMG-386,angiogenesis,angiogenesis
294,64,0.309394749060212,0.657777354913974,0.3007887372314121,1.350923911463016,0.7066505633853017,2.5825995323907422,0.36294617649979066,0.03579280509866423,0.16241756913551242,AMG-386,MDSC_proxy,angiogenesis
294,64,-0.03395316722949606,0.6959984798646279,0.2312870920120165,1.2602209868980594,0.7047601847808963,2.2534714220725487,0.4354007653628127,0.019151757876880213,0.8732863269088831,AMG-386,CXCL1_MDSC_axis,angiogenesis
294,64,0.41993955104502606,0.6207039056522301,0.24161595401525676,1.2733050911958228,0.6483535901429204,2.500650694180329,0.48290632505465103,0.04926532291747597,0.061392224628553656,AMG-386,CD4_T_cell,angiogenesis
294,64,0.22955590875628096,0.6827924390538429,-0.2081804753562374,0.8120604665841957,0.45072815970346825,1.4630596895094936,0.4882563285707018,0.02059218939627164,0.25198041390392945,AMG-386,TGFb_activity,angiogenesis
294,64,0.48450168623788026,0.7327532819778797,0.1553892269919474,1.1681125335611455,0.6262819591366998,2.178710197789378,0.6251345724565662,0.019057558581868875,0.02335209892853748,AMG-386,Dendritic,angiogenesis
294,64,0.37146040528583796,0.6969503038171069,-0.14909467255212638,0.8614875518129712,0.4724308494123126,1.570940599776515,0.6266764642830038,0.01869845399017909,0.10941261385313165,AMG-386,CAF_proxy,angiogenesis
294,64,0.5077365657937488,0.6665247345083168,0.15942732027582512,1.1728390175066905,0.6109820466729522,2.251377709830429,0.6318200400224447,0.03720372091293107,0.026411458461263335,AMG-386,immune_exclusion,angiogenesis
