tertile,n_ctrl,n_trt,orr_ctrl,orr_trt,arr,or,or_ci_lo,or_ci_hi
low,53,42,0.09433962264150944,0.09523809523809523,0.000898472596585792,1.0306965761511215,0.27651298046804745,3.841900768244055
med,63,31,0.15873015873015872,0.22580645161290322,0.0670762928827445,1.5597667638483965,0.5447354807633278,4.4661536535071304
high,63,32,0.25396825396825395,0.40625,0.15228174603174605,1.993006993006993,0.8169858381225384,4.861867475331941
