arm_name,biology,targeted_class,n_ctrl,n_trt,pcr_ctrl,pcr_trt,baseline_OR,baseline_p,composite_n,composite_n_pcr,composite_beta_score,composite_beta_arm,composite_beta_interaction,composite_or_interaction,composite_or_ci_lo,composite_or_ci_hi,composite_p_interaction,composite_p_arm,composite_p_score
Pembrolizumab,anti-PD1,ICI,179,69,0.17318435754189945,0.4492753623188406,3.8947368421052633,1.559741196289097e-05,248,62,0.24834082909637267,1.1877172424832168,1.0896377935809172,2.9731969664810154,1.1902432472539302,7.426969421491689,0.019657562999817774,0.0013049582538361734,0.2517284763986667
AMG-386,anti-Angiopoietin-1/2,angiogenesis,179,115,0.17318435754189945,0.28695652173913044,1.9213217938631,0.02932523039075793,294,64,0.28549312179557274,0.588958136834423,0.44658782268274666,1.5629699457423993,0.8181845889131429,2.9857260627935513,0.17627297465739145,0.06293276312540291,0.17899307917328022
Ganitumab,anti-IGF-1R mAb,GF-receptor,179,105,0.17318435754189945,0.22857142857142856,1.4145758661887695,0.27795819519107084,284,55,0.2857948151062844,0.25249968395627315,0.3613621706232237,1.435283184163933,0.7493732505972767,2.7490143491268686,0.27578950206147945,0.45576256159361683,0.1981167796824872
ABT888+Carboplatin,PARPi+Platinum,PARPi,179,71,0.17318435754189945,0.38028169014084506,2.929618768328446,0.000801285493732416,250,58,0.2427013197178152,0.9851904041954894,0.24754397363247674,1.2808756859019983,0.6503697859224037,2.5226302916394414,0.474080238105162,0.004357905037049342,0.26410600707873055
Neratinib,pan-HER TKI,HER-kinase,179,114,0.17318435754189945,0.3684210526315789,2.78494623655914,0.00027882013278595014,293,73,0.29569565129450387,1.1849080513422345,0.20051002427786077,1.2220258621054405,0.6780233321183176,2.202501207427402,0.5046922625370835,7.707234456061232e-05,0.16544190910138323
Trastuzumab-based,HER2 mAb combos,HER2,179,128,0.17318435754189945,0.4453125,3.8328032712403455,2.5310772608029727e-07,307,88,0.24836088057132602,1.712893975886438,0.16697153528125044,1.1817206274843164,0.6638078962939115,2.103716525848044,0.5704197041495653,1.2936742206345497e-08,0.22787001425367448
Ganetespib,HSP90 inhibitor,chaperone,179,93,0.17318435754189945,0.27956989247311825,1.8526721232546943,0.05869478015619509,272,57,0.290966392862839,0.4688515064578399,0.17394305007370647,1.1899877941734174,0.615129064884849,2.302071274337852,0.6053981458155779,0.15864992008082568,0.17242728132649432
T-DM1+Pertuzumab,HER2 ADC + mAb,HER2,179,52,0.17318435754189945,0.5769230769230769,6.510263929618769,4.4177144227772604e-08,231,61,0.29701297794543857,1.9985092213302018,0.05502978548297415,1.056572084716657,0.47923274228133156,2.3294413584686944,0.8914863402325686,5.524772057917764e-08,0.1536002061090375
MK-2206,AKT inhibitor,PI3K-AKT,179,60,0.17318435754189945,0.3,2.046082949308756,0.042562010611084784,239,49,0.3165444750769553,0.6537637463729188,0.006480145055655147,1.0065011866218723,0.4773382036149049,2.122278566851347,0.9864166416948676,0.07159753111621422,0.13617700082284803
