n,n_pcr,beta_score,beta_arm,beta_interaction,or_interaction,or_ci_lo,or_ci_hi,p_interaction,p_arm,p_score,arm_name,signature,targeted_class
272,57,0.4647659532527206,0.5853218448928966,-0.4883906749937311,0.6136131029146354,0.3251335853193672,1.1580502816978562,0.1317745318070206,0.07015378269343786,0.02409486722673006,Ganetespib,Dendritic,chaperone
272,57,0.0009474247538149908,0.43537338339303655,0.4629309716641685,1.5887236716797772,0.8458624244668735,2.983987504287728,0.1500229769233281,0.18680245428153763,0.996510014061228,Ganetespib,CXCL1_MDSC_axis,chaperone
272,57,0.22763532876954232,0.4695642575387947,-0.4364499372574578,0.6463268539711827,0.35245344136408385,1.185230027964923,0.15833489771841625,0.14830640222137484,0.2858433401940912,Ganetespib,TGFb_activity,chaperone
272,57,-0.18305978017216057,0.4524415074349363,0.4362849513071184,1.546949537244004,0.831000395301576,2.8797253097707403,0.16880036681057753,0.16153749478900525,0.398251334315868,Ganetespib,hypoxia_score,chaperone
272,57,-0.1408030348507269,0.5271719476816729,0.4014718575142369,1.494022067743574,0.8148423338417041,2.7393053185898975,0.1942983316739576,0.09474295383147138,0.49309261425079365,Ganetespib,angiogenesis,chaperone
272,57,0.23723602072806863,0.4160528854984717,0.4671239060555561,1.595399070776554,0.7637122369365249,3.33279744900335,0.21394652762045752,0.22073964784058997,0.2554770938655644,Ganetespib,HLA_I_score,chaperone
272,57,0.41581465608539225,0.583109323148737,-0.35741634623438856,0.6994812107325815,0.3736518132628648,1.3094382170807581,0.26389347352800396,0.06982174204825964,0.060143283106825776,Ganetespib,CD4_T_cell,chaperone
272,57,0.32322319227753427,0.4299312163964596,0.3980542360388148,1.4889247810996655,0.7311287834613391,3.03215665135951,0.2726636793929701,0.21508959944844408,0.1532040262715865,Ganetespib,MDSC_proxy,chaperone
272,57,0.36266615213114944,0.5528385788975929,-0.329131516178311,0.7195483782711464,0.38860200481454543,1.3323396746749292,0.295052676983516,0.08815617962223654,0.13064866311084117,Ganetespib,CAF_proxy,chaperone
272,57,0.21134571036679675,0.5233598247984059,0.36903686786412826,1.44634092619254,0.7207989636467088,2.902199060048615,0.2990009465753719,0.10834368505666478,0.2943928006309139,Ganetespib,APM_score,chaperone
272,57,0.5466566544601514,0.6490503065361931,-0.2584557284276066,0.7722432187139711,0.41052680006951087,1.4526690797013444,0.42272368609362754,0.04907920726730577,0.0100840938649566,Ganetespib,Treg,chaperone
272,57,0.4187468030441988,0.5723686272039897,-0.23642475942544258,0.7894452783837704,0.40855333975802494,1.5254405897931158,0.48176037171610475,0.07636346374707176,0.05424592578294187,Ganetespib,TLS_signature,chaperone
272,57,0.38773143979315366,0.545734887272188,-0.18024412034779969,0.8350663298435878,0.432469860366762,1.6124494193585062,0.5913444828840739,0.09026886837320644,0.062120300737135266,Ganetespib,M2_polarization,chaperone
272,57,0.35736710990676673,0.5330585809106674,0.1660718351008801,1.1806579113572524,0.629748443486171,2.2135078189853123,0.6045377992884657,0.10747033261313506,0.07598586245838526,Ganetespib,NK_cell,chaperone
272,57,0.507498692023368,0.586867254326952,-0.14012552664755767,0.8692491146229154,0.45088598413101444,1.6757984276866953,0.6756582009380416,0.0735723416097642,0.021266604644649186,Ganetespib,M2_macrophage,chaperone
272,57,0.5682922125649995,0.5940706491270498,-0.1527524896095551,0.8583421441211717,0.4196405805800825,1.7556720452442793,0.6756745261210559,0.07493534054428393,0.016214358593544937,Ganetespib,HLA_II_score,chaperone
272,57,0.28925925202570285,0.5468975754381485,0.12676248857149308,1.1351473752864967,0.6043809110507707,2.132032200321393,0.6934562482536885,0.09263553969470778,0.13525968410708378,Ganetespib,IL6_STAT3_axis,chaperone
272,57,0.5087382525133487,0.455296363633479,0.15035676037794268,1.1622488130985695,0.5452949667146847,2.4772322981221016,0.6969786195284525,0.19682533712449335,0.032521428738036054,Ganetespib,IFN_gamma,chaperone
272,57,0.5334038747451982,0.6159087144689069,0.09735801782641623,1.1022549299018651,0.5407294838058534,2.2469015781081287,0.7887531752826487,0.0716141854010787,0.02255834824368866,Ganetespib,immune_exclusion,chaperone
272,57,0.19171394186052518,0.5378009311162453,-0.05431412100312244,0.9471345449157322,0.5156203976519035,1.7397757153477493,0.8610261181453001,0.08998147090213508,0.31119670426749335,Ganetespib,B_cell,chaperone
272,57,0.4638102812331991,0.5448248417468348,0.04466695868478767,1.0456795474189484,0.5397616618708825,2.0257935921204098,0.8946795995041265,0.10485740702414698,0.029327840934688376,Ganetespib,cytolytic_score,chaperone
272,57,0.45478823025008214,0.5735239796044941,0.03964853080653249,1.0404450255474862,0.5224063224319009,2.0721913282885733,0.9101946242169296,0.08632155469705578,0.03068989146192816,Ganetespib,checkpoint_score,chaperone
272,57,0.457463307789673,0.568718041547696,0.005934130777085576,1.0059517726101768,0.5126230660627458,1.9740410367989452,0.9862352576808757,0.08781925227224517,0.03133581885159434,Ganetespib,CD8_T_cell,chaperone
