tertile,n_ctrl,n_trt,orr_ctrl,orr_trt,arr,or,or_ci_lo,or_ci_hi
low,59,39,0.0847457627118644,0.1282051282051282,0.04345936549326379,1.579710144927536,0.44966364109412427,5.5496684942437176
med,58,40,0.1724137931034483,0.275,0.10258620689655173,1.8006456820016141,0.6938818600354206,4.672733297777156
high,62,36,0.25806451612903225,0.4722222222222222,0.21415770609318996,2.5291375291375293,1.075009127713083,5.950216120396613
