tertile,n_ctrl,n_trt,orr_ctrl,orr_trt,arr,or,or_ci_lo,or_ci_hi
low,60,20,0.08333333333333333,0.15,0.06666666666666667,2.018181818181818,0.4763081040606344,8.551309155808875
med,62,17,0.1774193548387097,0.4117647058823529,0.23434535104364324,3.198757763975155,1.0288307123229399,9.94532055666277
high,57,23,0.2631578947368421,0.34782608695652173,0.08466819221967964,1.5036420395421435,0.5428353261882709,4.165055725010606
