tertile,n_ctrl,n_trt,orr_ctrl,orr_trt,arr,or,or_ci_lo,or_ci_hi
low,65,18,0.1076923076923077,0.05555555555555555,-0.052136752136752146,0.6685714285714286,0.10696811444106662,4.178700890799621
med,53,29,0.1509433962264151,0.4827586206896552,0.3318152244632401,5.007590132827324,1.7979845635873715,13.94670424108512
high,61,22,0.26229508196721313,0.7272727272727273,0.46497764530551416,7.0,2.4053365594152845,20.371369573292256
