tertile,arm,n,events,orr,ci_lo,ci_hi
low,control,65,7,0.1076923076923077,0.046153846153846156,0.18461538461538463
low,pembro,18,1,0.05555555555555555,0.0,0.16666666666666666
medium,control,53,8,0.1509433962264151,0.05660377358490566,0.2457547169811295
medium,pembro,29,14,0.4827586206896552,0.3103448275862069,0.6551724137931034
high,control,61,16,0.26229508196721313,0.16393442622950818,0.3770491803278688
high,pembro,22,16,0.7272727272727273,0.5454545454545454,0.9090909090909091
