threshold,nb_model,nb_treat_all,nb_treat_none,n_flagged
0.1,0.38808373590982287,0.38808373590982287,0.0,69
0.15,0.34271099744245526,0.35208866155157714,0.0,66
0.2,0.3188405797101449,0.3115942028985507,0.0,62
0.25,0.2946859903381642,0.26570048309178745,0.0,59
0.3,0.26708074534161486,0.21325051759834365,0.0,57
0.35,0.24749163879598662,0.1527313266443701,0.0,54
0.4,0.22222222222222224,0.08212560386473428,0.0,47
0.44999999999999996,0.21607378129117266,-0.0013175230566533913,0.0,44
0.5,0.21739130434782608,-0.10144927536231885,0.0,33
0.5499999999999999,0.1481481481481482,-0.22383252818035404,0.0,28
0.6,0.10144927536231887,-0.37681159420289845,0.0,22
0.6499999999999999,0.05175983436853006,-0.5734989648033122,0.0,15
0.7,0.02898550724637683,-0.8357487922705313,0.0,12
